uid	name	q	description	common_name	last_updated	family	short_description

1131	Oniscus asellus	provide a complete scientific and natural history summary of Oniscus asellus, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Oniscus asellus, commonly known as the common woodlouse, is a terrestrial crustacean widespread in temperate regions. It lives under rocks, logs, and leaf litter, where it feeds on decaying plant material. It plays a major role in decomposition and nutrient recycling in soils. Unlike insects, it breathes through gill-like structures and requires moisture to survive.	Common shiny woodlouse	2025-07-09 19:57:28	Oniscidae	Commonly known as the common woodlouse, is a terrestrial crustacean widespread in temperate regions

1132	Oniticellus cinctus	provide a complete scientific and natural history summary of Oniticellus cinctus, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Oniticellus cinctus is a small dung beetle found in africa and parts of asia. It specializes in rolling and burying dung, which it uses for food and reproduction. Males and females cooperate in forming dung balls, which are buried for larval development. The species helps aerate soil, recycle nutrients, and reduce parasitic flies associated with fecal matter.	Ringed dung beetle	2025-07-09 19:57:28	Scarabaeidae	Small dung beetle found in Africa and parts of Asia

1133	Onthophagus taurus	provide a complete scientific and natural history summary of Onthophagus taurus, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Onthophagus taurus is a dung beetle species native to europe and introduced to other regions for agricultural benefits. It buries dung to create brood chambers, where its larvae develop. This behavior aerates soil and reduces fly populations. Males exhibit horn polymorphism used in combat over mates. The species plays a vital role in nutrient recycling and livestock hygiene.	Bull headed dung beetle	2025-07-09 19:57:28	Scarabaeidae	Dung beetle species native to Europe and introduced to other regions for agricultural benefits

1134	Onychiurus armatus	provide a complete scientific and natural history summary of Onychiurus armatus, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Onychiurus armatus is a springtail species adapted to life in soil and subterranean habitats across Europe. It lacks eyes and pigmentation, reflecting its adaptation to complete darkness underground. This species feeds on fungi, decomposing organic matter, and microbes, playing an important role in soil structure and nutrient cycling. Its sensitivity to chemical contamination makes it a useful indicator of soil quality.	Armored springtail	2025-07-09 19:57:28	Onychiuridae	Eyeless soil springtail feeding on fungi and detritus; useful indicator of soil quality.

1135	Operophtera brumata	provide a complete scientific and natural history summary of Operophtera brumata, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Operophtera brumata, the winter moth, is a defoliating pest of hardwood trees in europe and introduced parts of north america. Males are winged and fly late in the year, while females are flightless and climb trees to lay eggs. Larvae feed on buds and leaves, impacting tree growth. It is monitored and managed in forestry and urban landscapes.	Winter moth	2025-07-09 19:57:28	Geometridae	The winter moth, is a defoliating pest of hardwood trees in Europe and introduced parts of North America

1136	Opilio parietinus	provide a complete scientific and natural history summary of Opilio parietinus, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Opilio parietinus is a harvestman species native to europe, often found on walls, under stones, and in vegetation. It feeds on small invertebrates and organic detritus. Unlike spiders, it has a fused body and no venom. It is harmless to humans and contributes to decomposition and pest control in its habitat.	Wall harvestman	2025-07-09 19:57:28	Phalangiidae	Harvestman species native to Europe, often found on walls, under stones, and in vegetation

1137	Opisthopatus cinctipes	provide a complete scientific and natural history summary of Opisthopatus cinctipes, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Sciara hemerobioides is a species of dark-winged fungus gnat commonly found in damp forests and greenhouses. Its larvae feed on decaying plant material and fungi in soil and compost, helping to break down organic matter. Adults are short-lived and often seen hovering in shaded, moist areas. This species is harmless to humans but may become a nuisance in indoor horticultural settings.	Common summer velvetworm	2025-07-09 19:57:28	Peripatopsidae	Fungus gnat whose larvae feed on decaying plant material and fungi in damp soil.

1138	Opisthopatus roseus	provide a complete scientific and natural history summary of Opisthopatus roseus, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	This velvet worm species, native to the eastern cape of south africa, is known for its soft, segmented body and vibrant pink coloration. It lives in moist forest leaf litter and under decaying logs, avoiding desiccation. Opisthopatus roseus uses specialized adhesive slime glands to capture small arthropod prey, which it subdues and ingests using sharp mandibles. Its slow locomotion and sensitivity to microhabitat conditions make it an indicator of healthy forest microclimates.	Pink velvet worm	2025-07-09 19:57:28	Peripatopsidae	This velvet worm species, native to the Eastern Cape of South Africa, is known for its soft, segmented body and vibrant pink coloration

1139	Opistophthalmus glabrifrons	provide a complete scientific and natural history summary of Opistophthalmus glabrifrons, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Scorpion species found in southern africa, typically inhabiting burrows in savannah habitats. It feeds on insects and small vertebrates, and is known for its potent venom and defensive behaviors.	Shiny burrow scorpion	2025-07-09 19:57:28	Scorpionidae	Scorpion species found in southern Africa, typically inhabiting burrows in savannah habitats

1140	Oppiella nova	provide a complete scientific and natural history summary of Oppiella nova, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	A cosmopolitan species of oribatid mite, Oppiella nova inhabits soil, leaf litter, and decaying organic matter in diverse ecosystems worldwide. Measuring less than 0.5 mm, it lacks eyes and is covered in a tough exoskeleton. This mite feeds primarily on fungi and detritus, contributing to decomposition and nutrient cycling. It is known for its parthenogenetic reproduction, with females producing offspring without mating, which allows rapid population growth in stable environments.	Nova mite	2025-07-09 19:57:28	Oppiidae	A cosmopolitan species of oribatid mite, Oppiella nova inhabits soil, leaf litter, and decaying organic matter in diverse ecosystems worldwide

1141	Orchesella cincta	provide a complete scientific and natural history summary of Orchesella cincta, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Springtail species prevalent in european leaf litter and moss habitats. Notable for its dorsal pigmentation and jumping ability, it consumes decaying plant material and aids in organic matter breakdown.	Belted springtail	2025-07-09 19:57:28	Entomobryidae	Springtail species prevalent in European leaf litter and moss habitats

1142	Orchopeas howardi	provide a complete scientific and natural history summary of Orchopeas howardi, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Orchopeas howardi is an ectoparasitic flea specializing on small rodents in north america. Adults jump onto hosts for blood meals and lay eggs in nesting materials. Larvae develop in organic debris, feeding on adult flea feces, and the species can transmit rodent pathogens.	Grey squirrel flea	2025-07-09 19:57:28	Ceratophyllidae	N ectoparasitic flea specializing on small rodents in North America

1143	Orestes mouhotii	provide a complete scientific and natural history summary of Orestes mouhotii, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	A master of camouflage, Orestes mouhotii is a stick insect from southeast asia that mimics twigs with remarkable precision. It is mostly nocturnal, feeding on leaves under cover of darkness and remaining motionless during the day. This species reproduces through parthenogenesis in some populations, with females able to produce offspring without mating.	Small cigar stick insect	2025-07-09 19:57:28	Heteropterygidae	A master of camouflage, Orestes mouhotii is a stick insect from Southeast Asia that mimics twigs with remarkable precision

1144	Ornithodoros hermsi	provide a complete scientific and natural history summary of Ornithodoros hermsi, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Ornithodoros hermsi is a soft-bodied tick known for transmitting tick-borne relapsing fever in the western united states. It typically inhabits rodent burrows and mountain cabins, feeding on blood from small mammals and occasionally humans during nighttime. Its flattened body and rapid feeding distinguish it from hard ticks.	Herms' soft tick	2025-07-09 19:57:28	Argasidae	Soft-bodied tick known for transmitting tick-borne relapsing fever in the western United States

1145	Ornithonyssus bacoti	provide a complete scientific and natural history summary of Ornithonyssus bacoti, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Commonly called the tropical rat mite, Ornithonyssus bacoti is a parasitic mite that infests rodents and can bite humans. It thrives in warm environments and is often found in dwellings near infested rats. The mites are highly mobile and can survive several days without a host, making them potential vectors of disease.	Tropical rat mite	2025-07-09 19:57:28	Macronyssidae	Commonly called the tropical rat mite, Ornithonyssus bacoti is a parasitic mite that infests rodents and can bite humans

1146	Oroperipatus cameranoi	provide a complete scientific and natural history summary of Oroperipatus cameranoi, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	A velvet worm species native to south america, Oroperipatus cameranoi inhabits moist forest floors where it hunts small invertebrates using sticky slime. It has a soft, segmented body with numerous paired legs and displays slow, gliding movement. It gives birth to live young and plays an important ecological role as a predator of small soil-dwelling animals.	Camerano's velvet worm	2025-07-21 18:06:12	Peripatidae	A velvet worm species native to South America, Oroperipatus cameranoi inhabits moist forest floors where it hunts small invertebrates using sticky slime

1147	Oroperipatus eisenii	provide a complete scientific and natural history summary of Oroperipatus eisenii, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Oroperipatus eisenii is a velvet worm found in central and south america, residing in humid leaf litter and decaying logs. This species exhibits unique ambush predation behavior, immobilizing prey with adhesive secretions. It is viviparous, giving live birth after internal gestation, and is considered an important indicator of undisturbed tropical habitats.	Eisen's velvet worm	2025-07-21 18:06:12	Peripatidae	Velvet worm found in Central and South America, residing in humid leaf litter and decaying logs

1148	Orseolia oryzae	provide a complete scientific and natural history summary of Orseolia oryzae, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Also known as the rice gall midge, Orseolia oryzae is a major pest of rice crops in asia. The larvae induce gall formation on young rice shoots, which stunts plant growth and reduces yield. Its life cycle is closely tied to the growth stages of the rice plant, and outbreaks are influenced by seasonal rainfall.	Asian rice gall midge	2025-07-09 19:57:28	Cecidomyiidae	Also known as the rice gall midge, Orseolia oryzae is a major pest of rice crops in Asia

1149	Orthetrum cancellatum	provide a complete scientific and natural history summary of Orthetrum cancellatum, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Orthetrum cancellatum, commonly called the black-tailed skimmer, is a widespread dragonfly found across europe and asia. It prefers still or slow-moving waters for breeding and is easily recognized by its powder-blue abdomen and dark tail tip. The species is a strong flyer and effective predator of smaller insects, contributing to aquatic ecosystem balance.	Black tailed skimmer	2025-07-09 19:57:28	Libellulidae	It prefers still or slow-moving waters for breeding and is easily recognized by its powder-blue abdomen and dark tail tip.

1150	Orthomorpha coarctata	provide a complete scientific and natural history summary of Orthomorpha coarctata, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Orthomorpha coarctata is a widespread flat-backed millipede that thrives in tropical and subtropical urban environments. It feeds on decaying plant matter and helps in organic decomposition. Despite its inconspicuous nature, it may become a nuisance indoors due to mass aggregations.	Long flanged millipede	2025-07-09 19:57:28	Paradoxosomatidae	Widespread flat-backed millipede that thrives in tropical and subtropical urban environments

1151	Orthonevra elegans	provide a complete scientific and natural history summary of Orthonevra elegans, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Orthonevra elegans is a hoverfly species known for its metallic sheen and affinity for wetland habitats. The larvae develop in water-saturated environments, feeding on decaying organic material. Adults visit flowers for nectar and play a role in pollination.	Elegant hoverfly	2025-07-09 19:57:28	Syrphidae	Hoverfly species known for its metallic sheen and affinity for wetland habitats

1152	Orthopodomyia signifera	provide a complete scientific and natural history summary of Orthopodomyia signifera, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Orthopodomyia signifera is a mosquito species that breeds in water-filled tree holes and artificial containers. Although not a major human pest, it contributes to local ecosystems by serving as prey and potentially affecting the transmission dynamics of certain avian pathogens.	Silver lined mosquito	2025-07-09 19:57:28	Culicidae	Although not a major human pest, it contributes to local ecosystems by serving as prey and potentially affecting the transmission dynamics of certain avian pathogens.

1153	Orthotomicus laricis	provide a complete scientific and natural history summary of Orthotomicus laricis, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Orthotomicus laricis is a bark beetle that primarily infests larch trees in europe and asia. Adults bore into the bark to lay eggs, and the developing larvae feed on the phloem, disrupting nutrient flow. It plays a role in forest ecology but can also contribute to tree mortality during outbreaks.	Lesser larch bark beetle	2025-07-09 19:57:28	Curculionidae	Bark beetle that primarily infests larch trees in Europe and Asia

1154	Osmia lignaria	provide a complete scientific and natural history summary of Osmia lignaria, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Known as the blue orchard bee, Osmia lignaria is a solitary pollinator native to north america. It is highly effective at pollinating fruit trees like apples and cherries. Females nest in pre-existing cavities and use mud to partition brood cells, making it an ideal species for managed pollination.	Blue orchard bee	2025-07-09 19:57:28	Megachilidae	Known as the blue orchard bee, Osmia lignaria is a solitary pollinator native to North America

1155	Otiorhynchus sulcatus	provide a complete scientific and natural history summary of Otiorhynchus sulcatus, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Otiorhynchus sulcatus, the black vine weevil, is a nocturnal pest of ornamental plants and soft fruits. Adults feed on leaves, while larvae damage roots, leading to plant wilting or death. This species is parthenogenetic, with only females present in most populations.	Black vine weevil	2025-07-09 19:57:28	Curculionidae	The black vine weevil, is a nocturnal pest of ornamental plants and soft fruits

1156	Otobius megnini	provide a complete scientific and natural history summary of Otobius megnini, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Otobius megnini, the spinose ear tick, parasitizes livestock by embedding in the ear canal of hosts. It is found in arid regions of the americas and causes irritation, head shaking, and secondary infections. Only the nymph stages feed; adults are non-parasitic and rarely encountered.	Spinose ear tick	2025-07-09 19:57:28	Argasidae	The spinose ear tick, parasitizes livestock by embedding in the ear canal of hosts

1157	Otostigmus scabricauda	provide a complete scientific and natural history summary of Otostigmus scabricauda, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Otostigmus scabricauda is a tropical centipede found in leaf litter and under logs in southeast asia. It is an active nocturnal predator, using venomous forcipules to subdue invertebrate prey. This species plays a key role in controlling soil-dwelling pest populations.	Scabrous millipede	2025-07-09 19:57:28	Scolopendridae	Tropical centipede found in leaf litter and under logs in Southeast Asia

1158	Oxidus gracilis	provide a complete scientific and natural history summary of Oxidus gracilis, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Oxidus gracilis, the greenhouse millipede, is a cosmopolitan species often found in moist, shaded environments such as greenhouses and compost heaps. It feeds on decaying plant material and plays a role in decomposition. While harmless, it may become a nuisance when populations grow large.	Greenhouse millipede	2025-07-09 19:57:28	Paradoxosomatidae	The greenhouse millipede, is a cosmopolitan species often found in moist, shaded environments such as greenhouses and compost heaps

1159	Oxypoda opaca	provide a complete scientific and natural history summary of Oxypoda opaca, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Oxypoda opaca is a small rove beetle associated with leaf litter and decaying organic material in temperate forests. It is an active scavenger and predator of small invertebrates. Its cryptic behavior and minute size make it rarely observed despite being widespread.	Dark rove beetle	2025-07-09 19:57:28	Staphylinidae	Small rove beetle associated with leaf litter and decaying organic material in temperate forests

1160	Pachycondyla apicalis	provide a complete scientific and natural history summary of Pachycondyla apicalis, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Scathophaga stercoraria, commonly known as the yellow dung fly, is widespread across temperate regions of the Northern Hemisphere. Adults are often seen on dung, where females lay eggs and males wait to mate. The larvae develop in dung and feed on decaying organic matter, contributing to nutrient recycling. Adults are also predatory, feeding on other insects attracted to dung pats.	Apical pachycondyla ant	2025-07-09 19:57:28	Formicidae	Yellow dung fly; larvae develop in dung while adults prey on insects and recycle nutrients.

1161	Pachylomera femoralis	provide a complete scientific and natural history summary of Pachylomera femoralis, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Pachylomera femoralis is a large dung beetle known for its strong, paddle-shaped front legs used in dung manipulation. It inhabits savannas of southern africa and plays a key role in nutrient cycling and seed dispersal. Males often engage in fights over dung balls used in reproduction.	Popeye dung beetle	2025-07-09 19:57:28	Scarabaeidae	Large dung beetle known for its strong, paddle-shaped front legs used in dung manipulation

1162	Paederus fuscipes	provide a complete scientific and natural history summary of Paederus fuscipes, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Paederus fuscipes is a rove beetle that produces pederin, a potent blister-causing toxin. Contact with crushed beetles can lead to severe skin irritation known as paederus dermatitis. It is common in humid agricultural areas where it preys on small insects and is attracted to artificial lights.	Asian rove beetle	2025-07-09 19:57:28	Staphylinidae	Rove beetle that produces pederin, a potent blister-causing toxin

1163	Pamphobeteus antinous	provide a complete scientific and natural history summary of Pamphobeteus antinous, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Pamphobeteus antinous is one of the largest tarantulas in south america, known for its striking black and blue coloration. It inhabits rainforest floors and is primarily nocturnal, feeding on insects and small vertebrates. Though intimidating, its venom is mild to humans and it often relies on threat displays for defense.	Bolivian blue leg bird eater	2025-07-09 19:57:28	Theraphosidae	Is one of the largest tarantulas in South America, known for its striking black and blue coloration

1164	Panchlora nivea	provide a complete scientific and natural history summary of Panchlora nivea, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Commonly called the cuban cockroach or green banana cockroach, Panchlora nivea is a small, pale green insect that lives in tropical regions. It is capable of flight and is often found in foliage or under bark. Unlike pest species, it rarely enters homes and feeds on decaying plant matter.	Green banana cockroach	2025-07-09 19:57:28	Blaberidae	Commonly called the Cuban cockroach or green banana cockroach, Panchlora nivea is a small, pale green insect that lives in tropical regions

1165	Pandinus imperator	provide a complete scientific and natural history summary of Pandinus imperator, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Pandinus imperator, commonly known as the emperor scorpion, is one of the largest scorpion species in the world and belongs to the family Scorpionidae. Native to the rainforests and savannas of West Africa, it is particularly abundant in countries like Ghana, Togo, and Sierra Leone. This species is recognized by its glossy black exoskeleton, massive pincers (pedipalps), and relatively mild venom compared to other scorpions. Adult emperor scorpions typically measure between 18 and 21 centimeters in length. Despite their intimidating appearance, they are generally docile and rarely sting unless provoked.	Emperor scorpion	2025-07-09 20:01:33	Scorpionidae	The emperor scorpion, is one of the largest scorpion species and native to West Africa

1166	Panonychus ulmi	provide a complete scientific and natural history summary of Panonychus ulmi, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Panonychus ulmi, the european red mite, is a common pest of fruit trees and ornamental plants. It feeds on leaf tissues, causing stippling, bronzing, and leaf drop. Populations can grow rapidly in warm conditions, making them a challenge for orchard management.	European red mite	2025-07-09 19:57:28	Tetranychidae	The European red mite, is a common pest of fruit trees and ornamental plants

1167	Panoploscelis specularis	provide a complete scientific and natural history summary of Panoploscelis specularis, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Panoploscelis specularis is a large bush-cricket from the amazon rainforest, notable for its heavy body and strong legs. It is nocturnal and herbivorous, feeding on leaves and soft plant tissues. Its robust build and spiny legs help deter predators.	Spiny lobster katydid	2025-07-09 19:57:28	Tettigoniidae	Large bush-cricket from the Amazon rainforest, notable for its heavy body and strong legs

1168	Panorpa acuta	provide a complete scientific and natural history summary of Panorpa acuta, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Panorpa acuta is a species of scorpionfly found in forested areas, where it feeds on dead insects and nectar. It has an elongated rostrum used for feeding and mating rituals. Like others in its genus, it plays a role in nutrient recycling within its habitat.	Sharp scorpionfly	2025-07-09 19:57:28	Panorpidae	Scorpionfly found in forested areas, where it feeds on dead insects and nectar

1169	Panorpa annexa	provide a complete scientific and natural history summary of Panorpa annexa, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Panorpa annexa is a little-known scorpionfly with a preference for damp, shaded woodland environments. It uses its beak-like mouthparts to scavenge for dead insects and organic fluids. Males present nuptial gifts to females during courtship.	Annex scorpionfly	2025-07-09 19:57:28	Panorpidae	Little-known scorpionfly with a preference for damp, shaded woodland environments

1170	Panorpa cognata	provide a complete scientific and natural history summary of Panorpa cognata, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Panorpa cognata is a european scorpionfly recognized by its patterned wings and long rostrum. Adults feed on decaying matter and aphid honeydew. The species is most active in summer and contributes to the decomposition cycle.	Dusky scorpionfly	2025-07-09 19:57:28	Panorpidae	European scorpionfly recognized by its patterned wings and long rostrum

1171	Panorpa communis	provide a complete scientific and natural history summary of Panorpa communis, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Panorpa communis, the common scorpionfly, is widespread in europe and easily recognized by its scorpion-like tail (a harmless male genital structure). It feeds on dead insects, fruit, and nectar, and is often found in hedgerows and woodland edges.	Common scorpionfly	2025-07-09 19:57:28	Panorpidae	The common scorpionfly, is widespread in Europe and easily recognized by its scorpion-like tail (a harmless male genital structure)

1172	Panorpa dubitans	provide a complete scientific and natural history summary of Panorpa dubitans, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Panorpa dubitans is a north american scorpionfly that frequents moist habitats such as forest floors and streambanks. It is a scavenger, consuming soft-bodied invertebrates and decaying organic matter. Its wing patterns aid in species identification.	Doubting scorpionfly	2025-07-09 19:57:28	Panorpidae	North American scorpionfly that frequents moist habitats such as forest floors and streambanks

1173	Panorpa floridana	provide a complete scientific and natural history summary of Panorpa floridana, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Panorpa floridana is a scorpionfly native to the southeastern united states, favoring humid, forested habitats. It feeds on dead arthropods and decomposing plant matter. Males often offer prey items as nuptial gifts during mating.	Florida scorpionfly	2025-07-09 19:57:28	Panorpidae	Scorpionfly native to the southeastern United States, favoring humid, forested habitats

1174	Panorpa germanica	provide a complete scientific and natural history summary of Panorpa germanica, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	A european scorpionfly that inhabits hedgerows, forest edges, and gardens. It is recognized by its elongated rostrum and genitalia that resemble a scorpion s tail (non-venomous). Adults are scavengers, feeding on dead insects, fruit, and nectar. They also exhibit nuptial feeding behavior, with males offering food gifts to females during mating. This species is active in warmer months and contributes to decomposition.	German scorpionfly	2025-07-21 17:42:15	Panorpidae	A European scorpionfly that inhabits hedgerows, forest edges, and gardens

1175	Panorpa japonica	provide a complete scientific and natural history summary of Panorpa japonica, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Amphigerontia contaminata is a barklouse species native to Europe, commonly found on tree bark in shaded, humid environments. It feeds on algae, lichens, and fungal spores using its chewing mouthparts, contributing to the cleaning of bark surfaces. This species prefers deciduous woodlands and often resides under loose bark or in crevices. It is harmless and plays a role in microhabitat maintenance on trees.	Common japanese scorpionfly	2025-07-09 19:57:28	Panorpidae	European barklouse that feeds on lichens and spores; prefers shaded tree bark surfaces.

1176	Panorpa meridionalis	provide a complete scientific and natural history summary of Panorpa meridionalis, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Panorpa meridionalis is a southern european scorpionfly that inhabits mediterranean woodlands and shrubby areas. Its diet includes rotting insects and sugary plant exudates. The males have distinctive abdominal structures used in mating rituals.	Southern scorpionfly	2025-07-09 19:57:28	Panorpidae	Southern European scorpionfly that inhabits Mediterranean woodlands and shrubby areas

1177	Panorpa nuptialis	provide a complete scientific and natural history summary of Panorpa nuptialis, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Panorpa nuptialis, known as the common scorpionfly in north america, is noted for its patterned wings and distinctive courtship behavior. It is active in late summer and is commonly found in meadows and along forest edges, feeding on decaying organic matter.	Nuptial scorpionfly	2025-07-09 19:57:28	Panorpidae	Known as the common scorpionfly in North America, is noted for its patterned wings and distinctive courtship behavior

1178	Panorpa rufa	provide a complete scientific and natural history summary of Panorpa rufa, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Panorpa rufa is a scorpionfly known for its reddish coloration and preference for moist forest floors. It scavenges decaying insects and organic fluids, playing a role in nutrient cycling. Males use saliva or prey as nuptial gifts during courtship.	Red scorpionfly	2025-07-09 19:57:28	Panorpidae	Scorpionfly known for its reddish coloration and preference for moist forest floors

1179	Panorpa similis	provide a complete scientific and natural history summary of Panorpa similis, including its taxonomy, anatomy, behavior, life cycle, habitat, ecological role, and any known interactions with humans or other species. Use clear, natural language appropriate for general readers while maintaining scientific accuracy.	Panorpa similis is a european scorpionfly found in damp meadows and woodland edges. It feeds on dead arthropods and sugary plant exudates. Its name reflects its similarity in appearance to other panorpa species.	Mimic scorpionfly	2025-07-09 19:57:28	Panorpidae	European scorpionfly found in damp meadows and woodland edges

