#==============================================================================#
#                                   ENGLISH                                    #
#==============================================================================#
#                                                                              #
# GENERAL NOTES                                                                #
# Feel free to edit this file to change the text displayed during the game.    #
# However, be careful with changing button texts. Some buttons do scale to     #
# their text size, others don't. So, if you happen to notice ill behavior,     #
# try to shorten your button text.                                             #
# Many of the texts and phrases given here have wildcard symbols: %s and %d.   #
# %s represents a string (text) that the wildcard will be replaced with in     #
# the game. %d represents a number. DO NOT delete or add any wildcards by      #
# yourself! Also, be sure to check what these wildcards represent if you       #
# like to change a phrase with wildcards.                                      #
# Some of the phrases contain HTML code. If you know how to write HTML code,   #
# feel free to change whatever you like, but DO NOT remove or add <html> tags. #
# Also note that Java only supports HTML 3.01 and just some of the basic CSS   #
# elements. You'll need to experminent a bit to receive best results.          #
# Finally, like you've probably noticed already, lines starting with '#' and   #
# empty lines in this document will be ignored by the game.                    #
#                                                                              #
#==============================================================================#
#
# All available languages.
# Please add a line for each newly added language in each language file.
# NOTE! Each language needs to be made out of two characters, preferrably
# using the international standard abbreviation.
# NOTE! The game will crash if the file name and the abbreviation provided
# here do not match.
#

de	German
descriptionGH21	As the owner of the Souvenir Shop, get
				1 Franc from the Treasury whenever an
				opponent visits one of your buildings.

buildingGH22	Wrecker's
descriptionGH22	Turn in 3 Food for 2 Wood, 2 Clay and 1 Iron;
				or 6 food for 4 Wood, 4 Clay and 2 Iron.

buildingGH23	Blast Furnace
descriptionGH23	For 3 Energy per Iron, take up to 6 Iron from
				the Supply.

buildingGH24	Biofuel Facility
descriptionGH24	The owner of the Biofuel Facility may pay
				1 Grain for each 2 energy needed at the
				Shipping Line.

buildingGH25	Ranch
descriptionGH25	At the end of the game, worth 2 Francs per
				Cattle left in the owner's supply.

buildingGH26	Trading Firm
descriptionGH26	Turn in up to 4 goods for any number of
				goods with the same total monetary value.
				
buildingGH27	Trafficking Spot
descriptionGH27	Turn in up to 3 standard goods for the same
				amount of other standard goods (except Iron),
				and/or turn in up to 3 upgraded goods for the
				same amount of other upgraded goods (except Steel).

buildingGH28	Major Corporation
descriptionGH28	For each type of good in your supply (except Franc)
				take 1 token of this good from the general supply.
				Pay 3 Francs if you take Steel.

buildingGH29	Emporium
descriptionGH29	Purchase any number of different upgraded goods.
				Smoked Fish, Charcoal, Bricks, Bread, Meat and
				Leather cost 1 Franc each, Coke costs 3 Francs,
				and Steel costs 5 Francs.

buildingGH30	Cobbler's
descriptionGH30	Turn in any number of Leather for 2 Bread and
				2 Francs each.

buildingGH31	Rattletrap car
descriptionGH31	The Rattletrap car must be taken by the next
				player getting at least 1 Iron (not Steel).
				The Rattlerap car cannot be sold.

buildingGH32	Wholesale Bakery
descriptionGH32	Sell any number of Bread for 2 Francs each.

buildingE2010		Toy fair
descriptionE2010	Take 1 Loan and 6 different
					goods (except Steel).

bldCosts		Building Costs
bldEntry		Entry Fee
bldFree			free
bldNoBuild		no building
bldNoEntry		no entry
bldNoPurchase	no purchase
bldPrice		Price

bldNoBuilding	No Building
bldSpecial		Special Building
bldStandard		Standard Building

bldInRounds		in %s
bldNextRound	next round
bldThisRound	this round
bldNever		never
bldYouWill		<b>You</b> will be the first to use it.
bldOtherWill	<b>%s</b> will be the first to use it.

bldFishing		Fisherman
bldFishing2		Fishermen
bldFishing5		Fishermen

bldHammer		Hammer
bldHammer2		Hammers
bldHammer5		Hammers

#
# The building types.
#

typeCraft		Craft Building
typeEconomic	Economic Building
typeIndustrial	Industrial Building
typePublic		Public Building
typeShip		Ship

#
# The ships.
#

shipWooden		Wooden Ship
shipIron		Iron Ship
shipSteel		Steel Ship
shipLuxury		Luxury Liner

shipsWooden		Wooden Ships
shipsIron		Iron Ships
shipsSteel		Steel Ships
shipsLuxury		Luxury Liners

#
# The goods.
#

goodFranc		Franc
goodFranc2		Francs
goodFranc5		Francs

goodFish		Fish
goodFish2		Fishes
goodFish5		Fishes

goodWood		Wood
goodWood2		Wood
goodWood5		Wood

goodClay		Clay
goodClay2		Clay
goodClay5		Clay

goodIron		Iron
goodIron2		Iron
goodIron5		Iron

goodGrain		Grain
goodGrain2		Grain
goodGrain5		Grain

goodCattle		Cattle
goodCattle2		Cattle
goodCattle5		Cattle

goodCoal		Coal
goodCoal2		Coal
goodCoal5		Coal

goodHides		Hides
goodHides2		Hides
goodHides5		Hides

goodSmokedFish	Smoked Fish
goodSmokedFish2	Smoked Fishes
goodSmokedFish5	Smoked Fishes

goodCharcoal	Charcoal
goodCharcoal2	Charcoal
goodCharcoal5	Charcoal

goodBrick		Brick
goodBrick2		Bricks
goodBrick5		Bricks

goodSteel		Steel
goodSteel2		Steel
goodSteel5		Steel

goodBread		Bread
goodBread2		Breads
goodBread5		Breads

goodMeat		Meat
goodMeat2		Meat
goodMeat5		Meat

goodCoke		Coke
goodCoke2		Coke
goodCoke5		Coke

goodLeather		Leather
goodLeather2	Leather
goodLeather5	Leather

goodFood		Food
goodFood2		Food
goodFood5		Food

goodEnergy		Energy
goodEnergy2		Energy
goodEnergy5		Energy

#
# The About Contents.
#

about
	<h1>About JLeHavre...</h1>
	<p>The work on the computer version of the great board game <b>Le Havre</b> by successful
	designer <b>Uwe Rosenberg</b> (Agricola, Bohnanza) started on January&nbsp;7th, 2009 and
	went on until end of March. It was solely done by <b>Grzegorz Kobiela</b> from Hanover,
	Germany.</p>
	<p>All rights on the graphics and the board game are reserved to their proper owners.
	The programmer has got the explicit approval of the respective rights-holders to publish
	this project and to use the original graphics.</p>
	<p>The duplication and distribution of parts of or the whole game are prohibited.
	The rights of the respective rights-holders must be preserved.</p>
	<h1>Programming</h2>
	<p>The computer version of <b>Le Havre</b> was written in the programming language <b>Java</b>
	(version 1.6). The network communication is based on <b>JGroups</b>, a class library designed
	by a third party to help with network projects in Java. The stability of the game offline and online is
	mainly based on their library.</p>
	<p>This version of the computer game is final and I won't continue the work on it. Meanwhile,
	I'm creating another version from scratch and hope to make it more stable and better than this one,
	and hopefully it'll have artificial intelligence, i.&nbsp;e. computer players. I strongly apologize
	for any bugs and other problems you might encounter with the game. I do know that there might be
	occasional memory leaks.</p>
	<h1>Acknowledgments</h2>
	<p>First of all I want to thank the ingenious designer of this tremendous board game, <b>Uwe Rosenberg</b>,
	for his approval of this project, but above all I'm very grateful for his great support! Next I want to
	thank Hanno Girke from Lookout Games for his OK, and Klemens Franz for his excellent graphic design,
	his approval to use it and support. Finally, I want to thank <u>all</u> of my playtesters, namely Markus Tong,
	Bo Link, Jake Duffy, BGG user dreadpirate, Rogério Pereira, Zach Carter and Phil Sauer. I apologize to all
	of those of you who haven't been named here. I didn't keep track of my playtesters, so I may have forgotten
	some of you. I'm so sorry! I could only name those who answered me through boardgamegeek. So, if you weren't
	named here, but would like to (as you deserve it!), please contact me and I'll add you here. You'll find my
	email address below.</p>
	<p>Also, great thanks to Micheal Murphy for checking the English language file.</p>
	<h1>Support</h1>
	<p>I kindly ask everyone who is willing for a small donation. This first version of the computer game is
	100% free and nobody needs to pay me for my work. However, if you love this computer version  and if you want to
	compensate my effort, please send a little money via PayPal to <b>grzesieczek@gmx.de</b>. Your donations
	will give me motivation to continue programming. That said, I'd like to thank to all of those who have already
	made a donation: Doug Bass, Isaac, Jan Brockmann, Markus Ellenberger, Michael Nosiara und Robert Trezise.</p>
	<p>This email address is also my contact address if you have any questions or suggestions. Also, you can
	contact me via Boardgamegeek at any time under the user name <b>Ponton</b>.</p>
	<h1>A Last Plea</h1>
	<p>This project would never exist if there wasn't the outstanding work of designer <b>Uwe Rosenberg</b> and
	his marvelous board game <b>Le Havre</b>. Therefore I ask everyone who loves to play this computer version
	to also consider the purchase of the original board game! This way you can express your gratitude for this
	great game to its designer and encourage him to design further ingenious games in the future. This way you
	do yourself a favor when there will be the next great Rosenberg game.</p>
	<p>Also: Is there anything better than sitting with friends at the table and having a relaxed session of
	<b>Le Havre</b> and other board games? Where else will you get to laugh about the expression on your opponent's
	face if you make a perfect move, or will you see red if your opponent crushes you!</p>
	<p>Finally, I wish all of you a lot of fun with this game!</p>
